crno,company_name,enpEmpeCnt,enpBsadr,enpHmpgUrl,상장여부,top_region,employee_count
1101110085450,현대자동차(주),72598.0,서울특별시 서초구  헌릉로 12,www.hyundai.com,1.0,서울,72598.0
1101110037998,기아(주),36566.0,서울특별시 서초구 헌릉로 12 기아자동차,www.kia.co.kr,1.0,서울,36566.0
1101110393134,엘지디스플레이(주),24430.0,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층),www.lgdisplay.com,1.0,서울,24430.0
1101110108484,(주)대한항공,18318.0,서울특별시 강서구 하늘길 260,www.koreanair.com,1.0,서울,18318.0
1101110000086,롯데쇼핑(주),17712.0,서울특별시 중구  남대문로 81 (소공동),www.lotteshoppingir.com/,1.0,서울,17712.0
1101110023393,(주)우리은행,14203.0,서울특별시 중구 소공로 51,www.wooribank.com,0.0,서울,14203.0
1101110394174,삼성SDI(주),12826.0,경기도 용인시 기흥구  공세로 150-20,www.samsungsdi.co.kr,1.0,경기,12826.0
1101110012809,(주)신한은행,12781.0,"서울특별시 중구 세종대로9길 20 (태평로2가, 신한은행 본점)",www.shinhan.com,0.0,서울,12781.0
1101110215536,현대모비스(주),12535.0,서울 강남구 역삼1동 로담코빌딩 140-2,www.mobis.com,1.0,서울,12535.0
1101110192180,엘지이노텍(주),12211.0,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,www.lginnotek.co.kr,1.0,서울,12211.0
1101110672538,주식회사 하나은행,11837.0,"서울특별시 중구 을지로 35 (을지로1가, 하나은행)",www.kebhana.com,0.0,서울,11837.0
1101110398556,삼성에스디에스(주),11219.0,서울특별시 송파구 올림픽로35길 125(신천동),www.samsungsds.com,1.0,서울,11219.0
1101110168595,삼성중공업(주),10589.0,경기도 성남시 분당구 판교로227번길 23 삼성중공업 판교R&D센터,www.samsungshi.com,1.0,경기,10589.0
1101110015762,삼성물산(주),9261.0,서울특별시 강동구 상일로6길 26 -,www.samsungcnt.com,1.0,서울,9261.0
