id,crno,name,address,status,query_address,matched_address,address_type,latitude,longitude
parent_company:1101110095201,1101110095201,(주)현대지에프홀딩스,서울특별시 강남구 테헤란로98길 12 13층,ok,서울특별시 강남구 테헤란로98길 12 13층,서울 강남구 테헤란로98길 12,ROAD_ADDR,37.5074139356357,127.062160877693
parent_company:1101112248882,1101112248882,(주)현대홈쇼핑,서울특별시 강동구 올림픽로70길 34,ok,서울특별시 강동구 올림픽로70길 34,서울 강동구 올림픽로70길 34,ROAD_ADDR,37.5390705719573,127.125615628774
parent_company:1101110192271,1101110192271,(주)형지아이앤씨,"인천광역시 연수구 하모니로177번길 49 12층 (송도동,형지글로벌패션복합센터)",ok,"인천광역시 연수구 하모니로177번길 49 12층 (송도동,형지글로벌패션복합센터)",인천 연수구 하모니로177번길 49,ROAD_ADDR,37.3783371308295,126.644414087073
parent_company:1101112507551,1101112507551,(주)형지엘리트,"인천광역시 연수구 하모니로177번길 49 업무동 10층(송도동, 형지글로벌 패션복합센터)",ok,"인천광역시 연수구 하모니로177번길 49 업무동 10층(송도동, 형지글로벌 패션복합센터)",인천 연수구 하모니로177번길 49,ROAD_ADDR,37.3783371308295,126.644414087073
parent_company:1101110145519,1101110145519,(주)호텔신라,서울특별시 중구 동호로 249 (주) 호텔신라,ok,서울특별시 중구 동호로 249 (주) 호텔신라,서울 중구 동호로 249,ROAD_ADDR,37.5575055053737,127.007952910656
parent_company:1845110001252,1845110001252,(주)화승코퍼레이션,부산광역시 연제구 중앙대로 1079 -,ok,부산광역시 연제구 중앙대로 1079 -,부산 연제구 중앙대로 1079,ROAD_ADDR,35.1844828378684,129.079980323561
parent_company:1701110014936,1701110014936,(주)화신,경상북도 영천시 도남공단길 94-2,ok,경상북도 영천시 도남공단길 94-2,경북 영천시 도남공단길 94-2,ROAD_ADDR,35.9277335652478,128.944370902648
parent_company:1101110383507,1101110383507,(주)화인파트너스,서울특별시 종로구 청계천로 41 영풍빌딩 21층,ok,서울특별시 종로구 청계천로 41 영풍빌딩 21층,서울 종로구 청계천로 41,ROAD_ADDR,37.5696679696981,126.982179278549
parent_company:1101110504195,1101110504195,(주)황금에스티,경기도 안산시 단원구 엠티브이1로 25 (주)황금에스티,ok,경기도 안산시 단원구 엠티브이1로 25 (주)황금에스티,경기 안산시 단원구 엠티브이1로 25,ROAD_ADDR,37.3004152221998,126.759608724183
parent_company:1101110030497,1101110030497,(주)효성,서울특별시 마포구 마포대로 119 (공덕동),ok,서울특별시 마포구 마포대로 119 (공덕동),서울 마포구 마포대로 119,ROAD_ADDR,37.5456391995242,126.9516774619
