id,crno,name,address,status,query_address,matched_address,address_type,latitude,longitude
subsidiary:name:에스엘티세마|address:서울특별시영등포구의사당대로963층여의도동tptower,,에스엘티세마,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),ok,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울 영등포구 의사당대로 96,ROAD_ADDR,37.521547851978,126.92294256449
subsidiary:name:에스엘티수원제일차|address:서울특별시영등포구의사당대로963층여의도동tptower,,에스엘티수원제일차,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),ok,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울 영등포구 의사당대로 96,ROAD_ADDR,37.521547851978,126.92294256449
subsidiary:name:에스엘티신정제일차|address:서울특별시영등포구의사당대로963층여의도동tptower,,에스엘티신정제일차,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),ok,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울 영등포구 의사당대로 96,ROAD_ADDR,37.521547851978,126.92294256449
subsidiary:name:에스엘티야음|address:서울특별시영등포구여의대로10813층여의도동파크원타워2,,에스엘티야음,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),ok,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울 영등포구 여의대로 108,ROAD_ADDR,37.5252014942155,126.929108448093
subsidiary:name:에스엘티연산주1|address:서울특별시영등포구국제금융로8길32,,에스엘티연산(주1),서울특별시 영등포구 국제금융로8길 32,ok,서울특별시 영등포구 국제금융로8길 32,서울 영등포구 국제금융로8길 32,ROAD_ADDR,37.5203608024526,126.927531492896
subsidiary:name:에스엘티연산제일차|address:서울특별시영등포구의사당대로96여의도동tptower,,에스엘티연산제일차,서울특별시 영등포구 의사당대로 96(여의도동 TP Tower),ok,서울특별시 영등포구 의사당대로 96(여의도동 TP Tower),서울 영등포구 의사당대로 96,ROAD_ADDR,37.521547851978,126.92294256449
subsidiary:name:에스엘티옥포제이차|address:서울특별시영등포구의사당대로963층여의도동tptower,,에스엘티옥포제이차,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),ok,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울 영등포구 의사당대로 96,ROAD_ADDR,37.521547851978,126.92294256449
subsidiary:name:에스엘티울주|address:서울특별시영등포구의사당대로963층여의도동tptower,,에스엘티울주,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),ok,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울 영등포구 의사당대로 96,ROAD_ADDR,37.521547851978,126.92294256449
subsidiary:name:에스엘티장항중채제일차|address:서울특별시영등포구여의나루로4길183층여의도동키움파이낸스스퀘어,,에스엘티장항중채제일차,서울특별시 영등포구 여의나루로4길 183층(여의도동키움파이낸스스퀘어),no_match,서울특별시 영등포구 여의나루로4길 183층(여의도동키움파이낸스스퀘어),,,,
subsidiary:name:에스엘티중외제일차|address:서울특별시영등포구의사당대로963층여의도동tptower,,에스엘티중외제일차,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),ok,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울 영등포구 의사당대로 96,ROAD_ADDR,37.521547851978,126.92294256449
subsidiary:name:에스엘티프린세스|address:서울특별시영등포구여의대로10813층여의도동파크원타워2,,에스엘티프린세스,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),ok,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울 영등포구 여의대로 108,ROAD_ADDR,37.5252014942155,126.929108448093
subsidiary:name:에스엘티화도|address:서울특별시영등포구의사당대로963층여의도동tptower,,에스엘티화도,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),ok,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울 영등포구 의사당대로 96,ROAD_ADDR,37.521547851978,126.92294256449
subsidiary:name:에스엠영등포제일차|address:서울시영등포구여의나루로60,,에스엠영등포제일차㈜,서울시 영등포구 여의나루로 60,ok,서울시 영등포구 여의나루로 60,서울 영등포구 여의나루로 60,ROAD_ADDR,37.5223003029771,126.926225192863
subsidiary:name:에스엠원미음제일차|address:서울특별시영등포구여의나루로60여의도동,,에스엠원미음제일차(주),서울특별시 영등포구 여의나루로 60(여의도동),ok,서울특별시 영등포구 여의나루로 60(여의도동),서울 영등포구 여의나루로 60,ROAD_ADDR,37.5223003029771,126.926225192863
subsidiary:name:에스와이그린에너지2호포천발전소|address:경기도과천시관문로,,에스와이그린에너지 2호포천발전소 주식회사,경기도 과천시 관문로,ok,경기도 과천시 관문로,경기 과천시 관문로,ROAD,37.4300601479982,126.989953546833
subsidiary:name:에스와이그린에너지3호아산발전소|address:경기도과천시관문로,,에스와이그린에너지 3호아산발전소 주식회사,경기도 과천시 관문로,ok,경기도 과천시 관문로,경기 과천시 관문로,ROAD,37.4300601479982,126.989953546833
subsidiary:name:에스와이그린에너지4호예산발전소|address:경기도과천시관문로,,에스와이그린에너지 4호예산발전소 주식회사,경기도 과천시 관문로,ok,경기도 과천시 관문로,경기 과천시 관문로,ROAD,37.4300601479982,126.989953546833
subsidiary:name:에스와이그린에너지|address:경기도수원시권선구권선동,,에스와이그린에너지(주),경기도 수원시 권선구 권선동,ok,경기도 수원시 권선구 권선동,경기 수원시 권선구 권선동,REGION,37.2576747662825,127.024596888703
subsidiary:name:에스와이글로벌제삼차|address:서울특별시영등포구국제금융로8길16,,에스와이글로벌제삼차㈜,서울특별시 영등포구 국제금융로 8길 16,ok,서울특별시 영등포구 국제금융로 8길 16,서울 영등포구 국제금융로8길 16,ROAD_ADDR,37.5212973163879,126.928884767419
subsidiary:name:에스와이디비제일차|address:서울특별시영등포구여의대로24전경련회관43층,,에스와이디비제일차㈜,서울특별시 영등포구 여의대로 24 전경련회관 43층,ok,서울특별시 영등포구 여의대로 24 전경련회관 43층,서울 영등포구 여의대로 24,ROAD_ADDR,37.5221803249647,126.919916550827
subsidiary:name:에스와이빌드|address:충남아산시인주면,,에스와이빌드(주),충남 아산시 인주면,ok,충남 아산시 인주면,충남 아산시 인주면,REGION,36.8677641195737,126.885628530746
subsidiary:name:에스와이스틸텍|address:충북충주시엄정면,,에스와이스틸텍(주),충북 충주시 엄정면,ok,충북 충주시 엄정면,충북 충주시 엄정면,REGION,37.0866781306913,127.914877536217
subsidiary:name:에스와이에이제이차|address:서울특별시영등포구국제금융로2길24여의도동,,에스와이에이제이차㈜,서울특별시 영등포구 국제금융로2길 24(여의도동),ok,서울특별시 영등포구 국제금융로2길 24(여의도동),서울 영등포구 국제금융로2길 24,ROAD_ADDR,37.5243047905812,126.924840024112
subsidiary:name:에스와이코스메틱스|address:경기도수원시권선구권선동,,에스와이코스메틱스(주),경기도 수원시 권선구 권선동,ok,경기도 수원시 권선구 권선동,경기 수원시 권선구 권선동,REGION,37.2576747662825,127.024596888703
subsidiary:name:에스와이피제일차주2|address:주1,,에스와이피제일차㈜(주2),(주1),no_match,(주1),,,,
subsidiary:name:에스와이피제일차주3|address:주2,,에스와이피제일차㈜(주3),주2),no_match,주2),,,,
subsidiary:name:에스원씨알엠|address:경기도수원시팔달구경수대로522인계동에스원빌딩,,에스원씨알엠(주),경기도 수원시 팔달구 경수대로 522(인계동) 에스원빌딩,ok,경기도 수원시 팔달구 경수대로 522(인계동) 에스원빌딩,경기 수원시 팔달구 경수대로 522,ROAD_ADDR,37.2725144809994,127.029327792976
subsidiary:name:에스유동화제일차|address:서울특별시영등포구국제금융로701705호여의도동,,에스유동화제일차(주),서울특별시 영등포구 국제금융로 70 1705호(여의도동),ok,서울특별시 영등포구 국제금융로 70 1705호(여의도동),서울 영등포구 국제금융로 70,ROAD_ADDR,37.5214946207638,126.930677790628
subsidiary:name:에스유리치|address:서울특별시영등포구국제금융로8길32여의도동,,에스유리치(주),서울특별시 영등포구 국제금융로8길 32(여의도동),ok,서울특별시 영등포구 국제금융로8길 32(여의도동),서울 영등포구 국제금융로8길 32,ROAD_ADDR,37.5203608024526,126.927531492896
subsidiary:name:에스유머티리얼스|address:충청남도아산시탕정면탕정로3802,,에스유머티리얼스㈜,충청남도 아산시 탕정면 탕정로 380-2,ok,충청남도 아산시 탕정면 탕정로 380-2,충남 아산시 탕정면 탕정로 380-2,ROAD_ADDR,36.8191879482132,127.063361951565
subsidiary:name:에스이그린에너지|address:경기도화성시장안면화곡로28057,,에스이그린에너지(주),경기도 화성시 장안면 화곡로 280-57,no_match,경기도 화성시 장안면 화곡로 280-57,,,,
