crno,sbrdEnpNm,sbrdEnpMainBizCtt,domestic,name_norm,addr,region,sicNm,대분류
1101114566406,지에이치불당제일차,자산유동화,국내,지에이치불당제일차,서울특별시 영등포구 국제금융로 10 Three IFC 22층,서울,자산유동화,금융
1101114566406,헤리스빌제일차,자산유동화,국내,헤리스빌제일차,서울특별시 영등포구 국제금융로 70 706호(여의도동),서울,자산유동화,금융
1101114566406,그레이트대치제일차,자산유동화,국내,그레이트대치제일차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,스타크제일차,자산유동화,국내,스타크제일차,서울특별시 영등포구 국제금융로 70 706호(여의도동),서울,자산유동화,금융
1101114566406,미디어그로쓰캐피탈제1호,자산유동화,국내,미디어그로쓰캐피탈제1호,서울특별시 영등포구 국제금융로 10 22층(여의도동),서울,자산유동화,금융
1101114566406,제이디울산제일차,자산유동화,국내,제이디울산제일차,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,나이스선화제이차,자산유동화,국내,나이스선화제이차,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,에스엘티뉴욕제일차,자산유동화,국내,에스엘티뉴욕제일차,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,스마트논현제일차,자산유동화,국내,스마트논현제일차,서울특별시 영등포구 국제금융로 10,서울,자산유동화,금융
1101114566406,쥐피아이제이십차,자산유동화,국내,쥐피아이제이십차,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,더퍼스트지엠제삼십이차,자산유동화,국내,더퍼스트지엠제삼십이차,서울특별시 영등포구 여의대로 108(여의도동 파크원엔에이치금융타워),서울,자산유동화,금융
1101114566406,그레이트인덕원제일차,자산유동화,국내,그레이트인덕원제일차,서울특별시 영등포구 여의대로 108 13층,서울,자산유동화,금융
1101114566406,지에스제오차,자산유동화,국내,지에스제오차,서울특별시 영등포구 국제금융로 10 22층,서울,자산유동화,금융
1101114566406,에이아이에스독일제일차,자산유동화,국내,에이아이에스독일제일차,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,네오라온,자산유동화,국내,네오라온,서울특별시 영등포구 여의나루로 60 14층(여의도동 포스트타워),서울,자산유동화,금융
1101114566406,네오아이디티,자산유동화,국내,네오아이디티,서울특별시 영등포구 여의나로루 60 14층(여의도동 여의도우체국),서울,자산유동화,금융
1101114566406,그레이트평택고덕제일차,자산유동화,국내,그레이트평택고덕제일차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,마운트아크로,자산유동화,국내,마운트아크로,서울특별시 영등포구 여의나루로 60 14층(여의도동 포스트타워),서울,자산유동화,금융
1101114566406,제이에코컴퍼니,자산유동화,국내,제이에코컴퍼니,서울특별시 송파구 오금로 58 801호,서울,자산유동화,금융
1101114566406,광주농성제일차,자산유동화,국내,광주농성제일차,서울특별시 영등포구 국제금융로 10,서울,자산유동화,금융
1101114566406,마인드유틸리티,자산유동화,국내,마인드유틸리티,서울특별시 영등포구 국제금융로 10 15층,서울,자산유동화,금융
1101114566406,스마트플러스제삼차,자산유동화,국내,스마트플러스제삼차,서울특별시 영등포구 국제금융로 10,서울,자산유동화,금융
1101114566406,스마트피에프제일차,자산유동화,국내,스마트피에프제일차,서울특별시 영등포구 국제금융로 10,서울,자산유동화,금융
1101114566406,마운트시티스케이프,자산유동화,국내,마운트시티스케이프,서울특별시 영등포구 국제금융로 10 Three IFC 15층,서울,자산유동화,금융
1101114566406,로즈힐스제일차,자산유동화,국내,로즈힐스제일차,서울특별시 영등포구 국제금융로6길 33 1101호(여의도동),서울,자산유동화,금융
1101114566406,메릴랜드,자산유동화,국내,메릴랜드,서울특별시 마포구 마포대로 52 지하층 38호(도화동 고려아카데미텔Ⅱ),서울,자산유동화,금융
1101114566406,콜롬비아,자산유동화,국내,콜롬비아,서울특별시 마포구 마포대로 52 지하층 38호(도화동 고려아카데미텔Ⅱ),서울,자산유동화,금융
1101114566406,마인드스탠스,자산유동화,국내,마인드스탠스,서울특별시 영등포구 국제금융로 10 Three IFC 15층,서울,자산유동화,금융
1101114566406,그레이트신광교제일차,자산유동화,국내,그레이트신광교제일차,서울특별시 영등포구 여의대로 56 5층(여의도동 한화손해보험빌딩),서울,자산유동화,금융
1101114566406,루미너스양주제일차,자산유동화,국내,루미너스양주제일차,서울특별시 영등포구 국제금융로2길 24(여의도동),서울,자산유동화,금융
1101114566406,티에스알와이일차,자산유동화,국내,티에스알와이일차,서울특별시 영등포구 국제금융로 70 1705호,서울,자산유동화,금융
1101114566406,에스엘티장항중채제일차,자산유동화,국내,에스엘티장항중채제일차,서울특별시 영등포구 여의나루로4길 183층(여의도동키움파이낸스스퀘어),서울,자산유동화,금융
1101114566406,카스타드제일차,자산유동화,국내,카스타드제일차,서울특별시 영등포구 국제금융로 70 710-1호(여의도동 미원빌딩),서울,자산유동화,금융
1101114566406,칼디아제일차,자산유동화,국내,칼디아제일차,서울특별시 영등포구 여의나루로 60,서울,자산유동화,금융
1101114566406,유포리아제십차,자산유동화,국내,유포리아제십차,서울특별시 영등포구 여의대로 66 4층(여의도동),서울,자산유동화,금융
1101114566406,밸류스타제일차,자산유동화,국내,밸류스타제일차,서울특별시 영등포구 국제금융로 10 22층,서울,자산유동화,금융
1101114566406,엠제이베스트제일차,자산유동화,국내,엠제이베스트제일차,서울특별시 영등포구 의사당대로 97 19층(여의도동),서울,자산유동화,금융
1101114566406,그레이트엠디제일차,자산유동화,국내,그레이트엠디제일차,서울특별시 영등포구 여의대로 56 2층(여의도동),서울,자산유동화,금융
1101114566406,에너지인프라제일차,자산유동화,국내,에너지인프라제일차,서울특별시 영등포구 국제금융로 10 22층,서울,자산유동화,금융
1101114566406,유포리아제십일차,자산유동화,국내,유포리아제십일차,서울특별시 영등포구 여의대로 66 4층(여의도동),서울,자산유동화,금융
1101114566406,케이제이비제일차,자산유동화,국내,케이제이비제일차,서울특별시 영등포구 여의대로 66 17층(여의도동),서울,자산유동화,금융
1101114566406,아스톤리버제구차,자산유동화,국내,아스톤리버제구차,서울특별시 영등포구 의사당대로 97 19층(여의도동 교보증권빌딩),서울,자산유동화,금융
1101114566406,오에스와이제일차,자산유동화,국내,오에스와이제일차,서울특별시 영등포구 국제금융로2길 24(여의도동),서울,자산유동화,금융
1101114566406,이터널과천제일차,자산유동화,국내,이터널과천제일차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,블루베어제일차,자산유동화,국내,블루베어제일차,서울특별시 영등포구 여의대로 66 4층(여의도동 하이투자증권),서울,자산유동화,금융
1101114566406,블루베어제이차,자산유동화,국내,블루베어제이차,서울특별시 영등포구 여의대로 66 4층(여의도동 하이투자증권),서울,자산유동화,금융
1101114566406,제이와이케이제일차,자산유동화,국내,제이와이케이제일차,서울특별시 영등포구 의사당대로 97 19층 (여의도동),서울,자산유동화,금융
1101114566406,하우메아제일차,자산유동화,국내,하우메아제일차,서울특별시 영등포구 국제금융로6길 33 1101호(여의도동),서울,자산유동화,금융
1101114566406,에이아이피프라이어티,자산유동화,국내,에이아이피프라이어티,서울특별시 영등포구 국제금융로2길 24(여의도동),서울,자산유동화,금융
1101114566406,에스엘티금오,자산유동화,국내,에스엘티금오,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,에스엘티중외제일차,자산유동화,국내,에스엘티중외제일차,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울,자산유동화,금융
1101114566406,그리니치제사차,자산유동화,국내,그리니치제사차,서울특별시 영등포구 국제금융로 70 1705호(여의도동 미원빌딩),서울,자산유동화,금융
1101114566406,프로젝트안흥제일차,자산유동화,국내,프로젝트안흥제일차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,프로젝트안흥제이차,자산유동화,국내,프로젝트안흥제이차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,스마트플러스제사차,자산유동화,국내,스마트플러스제사차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,스마트플러스제육차,자산유동화,국내,스마트플러스제육차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,아스테이온제일차,자산유동화,국내,아스테이온제일차,서울특별시 영등포구 여의나루로4길 18(여의도동),서울,자산유동화,금융
1101114566406,오거스트제일차,자산유동화,국내,오거스트제일차,서울특별시 영등포구 국제금융로 70 710-1호(여의도동 미원빌딩),서울,자산유동화,금융
1101114566406,메리츠경북에너지,자산유동화,국내,메리츠경북에너지,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,메리츠전북에너지,자산유동화,국내,메리츠전북에너지,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,메리츠평택에너지,자산유동화,국내,메리츠평택에너지,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,제이와이케이제이차,자산유동화,국내,제이와이케이제이차,서울특별시 영등포구 의사당대로 97 19층(여의도동),서울,자산유동화,금융
1101114566406,프라임리드원,자산유동화,국내,프라임리드원,서울특별시 영등포구 국제금융로 39 28층(여의도동 앵커원),서울,자산유동화,금융
1101114566406,엠피제일차,자산유동화,국내,엠피제일차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,라이즈실버,자산유동화,국내,라이즈실버,서울특별시 영등포구 국제금융로 70 710-1호(여의도동 미원빌딩),서울,자산유동화,금융
1101114566406,럭키비키제일차,자산유동화,국내,럭키비키제일차,서울특별시 영등포구 의사당대로 97 (여의도동),서울,자산유동화,금융
1101114566406,블루베어제삼차,자산유동화,국내,블루베어제삼차,서울특별시 영등포구 여의대로 66 4층(여의도동 iM증권),서울,자산유동화,금융
1101114566406,에너지인프라제이차,자산유동화,국내,에너지인프라제이차,서울특별시 영등포구 여의대로 66 4층(여의도동),서울,자산유동화,금융
1101114566406,에스엘티연산제일차,자산유동화,국내,에스엘티연산제일차,서울특별시 영등포구 의사당대로 96(여의도동 TP Tower),서울,자산유동화,금융
1101114566406,엠신천제일차,자산유동화,국내,엠신천제일차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,엠에프시네제일차,자산유동화,국내,엠에프시네제일차,서울특별시 영등포구 의사당대로 96 3층(여의도동 티피타워),서울,자산유동화,금융
1101114566406,비이피엔피유제1호,자산유동화,국내,비이피엔피유제1호,서울특별시 영등포구 국제금융로 10 Three IFC 22층,서울,자산유동화,금융
1101114566406,지엠뉴욕제이차,자산유동화,국내,지엠뉴욕제이차,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,케이에이치피제삼차,자산유동화,국내,케이에이치피제삼차,서울특별시 영등포구 국제금융로2길 24(여의도동),서울,자산유동화,금융
1101114566406,코스모스블루,자산유동화,국내,코스모스블루,서울특별시 영등포구 국제금융로 70 710-1호(여의도동 미원빌딩),서울,자산유동화,금융
1101114566406,코스모스퍼플,자산유동화,국내,코스모스퍼플,서울특별시 영등포구 국제금융로 70 710-1호(여의도동 미원빌딩),서울,자산유동화,금융
1101114566406,키스풍동제일차,자산유동화,국내,키스풍동제일차,서울특별시 영등포구 의사당대로 96 3층(여의도동 티피타워),서울,자산유동화,금융
1101114566406,페어웨이제이차,자산유동화,국내,페어웨이제이차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,페어웨이제일차,자산유동화,국내,페어웨이제일차,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,넥스트비전제오차,자산유동화,국내,넥스트비전제오차,서울특별시 영등포구 국제금융로 70 710-1호(여의도동 미원빌딩),서울,자산유동화,금융
1101114566406,뉴에이지제이차,자산유동화,국내,뉴에이지제이차,서울특별시 영등포구 국제금융로 39(여의도동 앵커원),서울,자산유동화,금융
1101114566406,멜로디제일차,자산유동화,국내,멜로디제일차,서울특별시 영등포구 국제금융로2길 24(여의도동),서울,자산유동화,금융
1101114566406,블루가든제일차,자산유동화,국내,블루가든제일차,서울특별시 영등포구 국제금융로2길 24(여의도동),서울,자산유동화,금융
1101114566406,아우라제일차,자산유동화,국내,아우라제일차,서울특별시 영등포구 국제금융로2길 24(여의도동),서울,자산유동화,금융
1101114566406,에너지인프라제삼차,자산유동화,국내,에너지인프라제삼차,서울특별시 영등포구 여의대로 66 4층,서울,자산유동화,금융
1101114566406,에스엘티가산제일차,자산유동화,국내,에스엘티가산제일차,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울,자산유동화,금융
1101114566406,에스엘티프린세스,자산유동화,국내,에스엘티프린세스,서울특별시 영등포구 여의대로 108 13층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,에스엘티화도,자산유동화,국내,에스엘티화도,서울특별시 영등포구 의사당대로 96 3층(여의도동 TP Tower),서울,자산유동화,금융
1101114566406,엠아이엘제육차,자산유동화,국내,엠아이엘제육차,서울특별시 영등포구 국제금융로6길 17 7층(여의도동),서울,자산유동화,금융
1101114566406,울산알프스제이차,자산유동화,국내,울산알프스제이차,서울특별시 영등포구 의사당대로 97 19층 (여의도동),서울,자산유동화,금융
1101114566406,울산알프스제일차,자산유동화,국내,울산알프스제일차,서울특별시 영등포구 의사당대로 97 19층 (여의도동),서울,자산유동화,금융
1101114566406,이르제일차,자산유동화,국내,이르제일차,서울특별시 영등포구 국제금융로2길 24(여의도동),서울,자산유동화,금융
1101114566406,나이스을지로제이차,자산유동화,국내,나이스을지로제이차,서울특별시 영등포구 여의대로 10813층(여의도동 파크원타워2),서울,자산유동화,금융
1101114566406,나이스을지로제일차,자산유동화,국내,나이스을지로제일차,서울특별시 영등포구 여의대로 10813층(여의도동 파크원타워2),서울,자산유동화,금융
